Alytaus apskritis,54.22184713484522,24.125283895378725
Vilniaus apskritis,54.82121103591245,25.233581312989728
Kauno apskritis,55.07519459915198,23.886841681456204
Klaipėdos apskritis,55.72433295010384,21.478884804740904
Marijampolės apskritis,54.70399930387533,23.17169911313832
Panevėžio apskritis,55.917550701141344,24.801590317518446
Šiaulių apskritis,55.937979020838455,23.307559840910514
Tauragės apskritis,55.30066466505163,22.449119637727513
Telšių apskritis,56.000721712218805,22.16396087487359
Utenos apskritis,55.47908487911733,25.699176773694425
